date,year,month,month_num,quarter,price,month_sin,month_cos,price_lag_1,price_lag_3,price_lag_6,price_lag_12,price_rolling_mean_3,price_rolling_mean_6,price_rolling_std_3,price_pct_change_1,price_pct_change_3,price_pct_change_12,price_yoy_change
2013-03-01,2013,March,3,1,90.53,1.0,6.123233995736766e-17,89.56,91.59,91.4,92.55,89.98333333333333,90.625,0.4966219219216509,0.010830728003573098,-0.011573315864177314,-0.021826039978390055,-0.021826039978390055
2013-04-01,2013,April,4,2,91.13,0.8660254037844387,-0.4999999999999998,90.53,89.86,91.15,91.41,90.40666666666668,90.62166666666667,0.7922331306712599,0.006627637247321294,0.014133095926997408,-0.003063122196696244,-0.003063122196696244
2013-05-01,2013,May,5,2,90.88,0.49999999999999994,-0.8660254037844387,91.13,89.56,91.06,92.07,90.84666666666665,90.59166666666665,0.30138568866690796,-0.0027433336991111723,0.014738722644037416,-0.012924948408819303,-0.012924948408819303
2013-06-01,2013,June,6,2,91.46,1.2246467991473532e-16,-1.0,90.88,90.53,91.59,91.27,91.15666666666665,90.57,0.2909180869819768,0.006382042253521014,0.010272837733348084,0.0020817355100251067,0.0020817355100251067
2013-07-01,2013,July,7,3,91.82,-0.4999999999999997,-0.8660254037844388,91.46,91.13,89.86,89.78,91.38666666666666,90.89666666666666,0.47427137098212796,0.003936146949486075,0.007571601009546791,0.02272220984629092,0.02272220984629092
2013-08-01,2013,August,8,3,91.07,-0.8660254037844385,-0.5000000000000004,91.82,90.88,89.56,91.65,91.44999999999999,91.14833333333333,0.37509998667013983,-0.008168155086037854,0.002090669014084501,-0.006328423349700074,-0.006328423349700074
2013-09-01,2013,September,9,3,90.49,-1.0,-1.8369701987210297e-16,91.07,91.46,90.53,91.4,91.12666666666667,91.14166666666665,0.6668083182843858,-0.006368727352585868,-0.010605729280559806,-0.009956236323851342,-0.009956236323851342
2013-10-01,2013,October,10,4,90.9,-0.8660254037844386,0.5000000000000001,90.49,91.82,91.13,91.15,90.82000000000001,91.10333333333334,0.29816103031733854,0.00453088739087204,-0.010019603572206326,-0.0027427317608338386,-0.0027427317608338386
2013-11-01,2013,November,11,4,90.57,-0.5000000000000004,0.8660254037844384,90.9,91.07,90.88,91.06,90.65333333333335,91.05166666666666,0.2173323108357835,-0.0036303630363038186,-0.00549028220050507,-0.005381067428069541,-0.005381067428069541
2013-12-01,2013,December,12,4,92.55,-2.4492935982947064e-16,1.0,90.57,90.49,91.46,91.59,91.33999999999999,91.23333333333333,1.060801583709196,0.021861543557469387,0.022764946402917374,0.010481493612839676,0.010481493612839676
